,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925
Leonardus A. Murphy,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium caesariense sancti petri,collegium caesariense sancti petri,collegium s. crucis,collegium s. crucis,na,na,na,na,na
Jacobus V. O'Neill,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium philadelphiense,collegium philadelphiense,collegium philadelphiense,collegium philadelphiense,collegium georgiopolitanum,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense
Robertus A. Parsons,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium bostoniense,collegium bostoniense,collegium bostoniense,collegium bostoniense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium philadelphiense
Gulielmus Reed,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na
Carolus M. Roddy,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,collegium brooklyniense,collegium brooklyniense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense
Daniel H. Sullivan,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium s. crucis
Ludovicus A. Wheeler,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,schola loyolaea neo eboracensis,schola alta bostoniensis,schola alta bostoniensis,collegium sancti francisci xaverii,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,collegium sancti francisci xaverii
Gulielmus Vancey,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na
Joannes P. Barnes,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,schola alta buffalensis b. petri canisii,schola alta buffalensis b. petri canisii,schola alta buffalensis b. petri canisii,collegium washingtoniense,na,na,na,na
Georgius W. Black,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na
Gualterus Burns,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na
Michael Campana,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na
Josephus F. Carroll,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na
Eduardus P. Cerrute,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na
Gulielmus J. Cohill,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium baltimorense,na,na,na,na,na,na,na,na,na
Josephus K. Countie,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,schola alta bostoniensis,schola alta bostoniensis,collegium bostoniense,collegium bostoniense,collegium maximum woodstockiense,na,collegium maximum woodstockiense,collegium maximum woodstockiense
David A. Daly,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium baltimorense,collegium baltimorense,collegium baltimorense,collegium washingtoniense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense
Joannes A. Daly,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense
Joannes Deignan,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na
Carolus E. Deppermann,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,domus probationis poughkeepsiensis,collegium baltimorense,schola alta baltimorensis,collegium baltimorense
Thomas F. Gallagher,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,schola loyolaea neo eboracensis,na,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense
Joannes J. Heenan,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium georgiopolitanum,collegium philadelphiense,collegium philadelphiense,collegium philadelphiense,collegium philadelphiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense
Gualterus L. Judge,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium brooklyniense,collegium buffalense,collegium buffalense,collegium buffalense,collegium buffalense,collegium buffalense,collegium buffalense,collegium buffalense
Jacobus H. Kearney,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium fordhamense,collegium fordhamense,collegium fordhamense,degentes extra provinciam,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense
Alfredus F. Kienle,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,schola alta bostoniensis,schola alta bostoniensis,schola alta bostoniensis,collegium bostoniense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense
Franciscus E. Low,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense
Joannes E. Lyons,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense
Daniel P. Mahoney,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium maximum woodstockiense,collegium maximum woodstockiense,na,collegium maximum woodstockiense
Joannes V. Matthews,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium philadelphiense,na,collegium philadelphiense,collegium philadelphiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense
Franciscus M. McEntee,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium sancti francisci xaverii,na,na,na,na,na,na,na
Eduinus McFadden,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na
Joannes W. Moran,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na
Josephus T. Murphy,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium georgiopolitanum,domus probationis poughkeepsiensis,schola loyolaea neo eboracensis,collegium baltimorense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense
Thomas J. Murray,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,degentes extra provinciam,degentes extra provinciam,collegium maximum woodstockiense,collegium maximum woodstockiense
Josephus O'Loughlin,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na
Thomas I. O'Malley,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense
Jacobus L. O'Neill,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense
Martinus J. O'Shaughnessy,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense
Carolus Palacio,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na
Laurentius K. Patterson,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,collegium maximum woodstockiense,na,degentes extra provinciam,degentes extra provinciam
Bartholomaeus Quinn,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na
Haroldus A. Reilly,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na
Joannes F. Shea,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium brooklyniense,collegium brooklyniense,collegium georgiopolitanum,collegium s. crucis,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense
Joannes P. Smith,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium bostoniense,collegium s. crucis,collegium georgiopolitanum,collegium georgiopolitanum,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense
Josephus J. Sullivan,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium brooklyniense,collegium buffalense,collegium buffalense,collegium buffalense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense
Laurentius Toups,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na
Leo A. Weber,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na
Augustus Abram,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium bostoniense,na,na,na,na,na,na,na,na
Carolus Abram,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na
Gulielmus J. Coffey,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na
Martinus Fitzpatrick,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense
Joannes Foster,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium georgiopolitanum,collegium georgiopolitanum,na,na,na,na,na,na,na
Eduardus A. Graham,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium s. crucis,na,na,na,na,na,na
Patritius Hagerty,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,na
Jacobus Harrington,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,collegium georgiopolitanum,collegium georgiopolitanum,collegium georgiopolitanum,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis
Joannes P. Himmelreicher,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense
Gulielmus McElaney,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense
Daniel A. McLaughlin,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na
Joannes McMullan,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense
Joannes J. McShea,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis
Aloisius O'Leary,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense
Andreas O'Reilly,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na
Orestes Pinamonti,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense
Laurentius Ritter,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na
Audoenus Thompson,na,na,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na
Josephus Mcloughlin,na,na,na,na,na,na,na,na,na,na,na,collegium kingstonense,na,na,na,na,na,na,na,na,na,na
Josephus I. Fink,na,na,na,na,na,na,na,na,na,na,na,collegium kingstonense,collegium kingstonense,collegium kingstonense,collegium kingstonense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,residentia chapticonensis,residentia chapticonensis,residentia chapticonensis
Josephus A. Keller,na,na,na,na,na,na,na,na,na,na,na,collegium kingstonense,collegium kingstonense,residentia bostoniensis ad ss. trinitatis,residentia bostoniensis ad ss. trinitatis,residentia bostoniensis ad ss. trinitatis,residentia bostoniensis ad ss. trinitatis,residentia bostoniensis ad ss. trinitatis,residentia bostoniensis ad ss. trinitatis,residentia bostoniensis ad ss. trinitatis,residentia bostoniensis ad ss. trinitatis,residentia bostoniensis ad ss. trinitatis
Franciscus H. Kreis,na,na,na,na,na,na,na,na,na,na,na,collegium kingstonense,collegium kingstonense,residentia s. thomae,residentia s. thomae,residentia s. thomae,residentia s. thomae,residentia s. thomae,residentia s. thomae,residentia s. thomae,residentia s. thomae,residentia bowiensis
Milesius J. O'Mailia,na,na,na,na,na,na,na,na,na,na,na,collegium kingstonense,collegium kingstonense,domus probationis poughkeepsiensis,collegium buffalense,collegium buffalense,collegium buffalense,collegium buffalense,collegium buffalense,collegium buffalense,collegium buffalense,collegium buffalense
Joannes A. Pfister,na,na,na,na,na,na,na,na,na,na,na,collegium kingstonense,collegium kingstonense,collegium kingstonense,collegium kingstonense,collegium kingstonense,collegium kingstonense,collegium kingstonense,na,na,na,na
Bernardus H. Pohlmann,na,na,na,na,na,na,na,na,na,na,na,collegium kingstonense,collegium kingstonense,domus probationis poughkeepsiensis,residentia buffalensis s. annae,schola alta buffalensis b. petri canisii,residentia bostoniensis ad ss. trinitatis,residentia bostoniensis ad ss. trinitatis,residentia bostoniensis ad ss. trinitatis,residentia bostoniensis ad ss. trinitatis,residentia bostoniensis ad ss. trinitatis,residentia chapticonensis
Michael J. Sheehy,na,na,na,na,na,na,na,na,na,na,na,collegium kingstonense,residentia chapticonensis,residentia chapticonensis,residentia leonardopolitana s. aloisii,residentia leonardopolitana s. aloisii,residentia leonardopolitana s. aloisii,residentia leonardopolitana s. aloisii,collegium baltimorense,collegium baltimorense,schola alta baltimorensis,schola alta baltimorensis
Alphonsus Weis,na,na,na,na,na,na,na,na,na,na,na,collegium kingstonense,residentia bostoniensis ad ss. trinitatis,collegium philadelphiense,collegium philadelphiense,residentia bostoniensis ad s. mariae,residentia bostoniensis ad s. mariae,residentia bowiensis,residentia leonardopolitana s. aloisii,residentia leonardopolitana s. aloisii,residentia leonardopolitana s. aloisii,collegium washingtoniense
Henricus L. Fieth,na,na,na,na,na,na,na,na,na,na,na,collegium kingstonense,collegium kingstonense,collegium brooklyniense,collegium brooklyniense,collegium brooklyniense,collegium brooklyniense,collegium brooklyniense,collegium brooklyniense,collegium brooklyniense,collegium brooklyniense,domus probationis poughkeepsiensis
Gulielmus Hughes,na,na,na,na,na,na,na,na,na,na,na,collegium kingstonense,collegium philadelphiense,collegium fordhamense,na,na,na,na,collegium maximum woodstockiense,na,collegium washingtoniense,collegium washingtoniense
Franciscus X. Pilliod,na,na,na,na,na,na,na,na,na,na,na,collegium kingstonense,collegium kingstonense,schola alta buffalensis b. petri canisii,na,na,na,na,na,na,na,na
Fridericus Grewen,na,na,na,na,na,na,na,na,na,na,na,collegium kingstonense,na,na,na,na,na,na,na,na,na,na
Jeremias M. Prendergast,na,na,na,na,na,na,na,na,na,na,na,collegium kingstonense,collegium kingstonense,collegium baltimorense,collegium baltimorense,collegium baltimorense,collegium baltimorense,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam
Josephus J. Williams,na,na,na,na,na,na,na,na,na,na,na,collegium kingstonense,collegium kingstonense,collegium kingstonense,collegium maximum woodstockiense,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,domus probationis yonkersensis,domus probationis stockbridgensis,domus probationis poughkeepsiensis
A. J. Mullan,na,na,na,na,na,na,na,na,na,na,na,degentes extra provinciam,na,na,na,na,na,na,na,na,na,na
Subst. Elder,na,na,na,na,na,na,na,na,na,na,na,degentes extra provinciam,na,na,na,na,na,na,na,na,na,na
Joannes J. O'Rourke,na,na,na,na,na,na,na,na,na,na,na,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam
Demetrius Zema,na,na,na,na,na,na,na,na,na,na,na,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,collegium s. crucis,collegium s. crucis,na,collegium maximum woodstockiense,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam
Gulielmus M. McDonough,na,na,na,na,na,na,na,na,na,na,na,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,na,na,na,na,na
Jacobus A. Rockliff,na,na,na,na,na,na,na,na,na,na,na,degentes extra provinciam,na,na,na,na,na,na,na,na,na,na
Georgius F. McDonald,na,na,na,na,na,na,na,na,na,na,na,degentes extra provinciam,collegium caesariense sancti petri,collegium brooklyniense,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,na,domus probationis poughkeepsiensis,domus philosophiae westoniensis,collegium kingstonense
Eduardus A. Sullivan,na,na,na,na,na,na,na,na,na,na,na,degentes extra provinciam,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,degentes extra provinciam
Leo T. Butler,na,na,na,na,na,na,na,na,na,na,na,degentes extra provinciam,residentia bostoniensis ad s. mariae,domus probationis poughkeepsiensis,collegium philadelphiense,collegium philadelphiense,collegium kingstonense,collegium kingstonense,collegium s. crucis,domus philosophiae westoniensis,domus philosophiae westoniensis,collegium kingstonense
St. Louis University,na,na,na,na,na,na,na,na,na,na,na,degentes extra provinciam,na,na,na,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam
Franciscus L. Andries,na,na,na,na,na,na,na,na,na,na,na,degentes extra provinciam,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,schola alta buffalensis b. petri canisii,degentes extra provinciam
Jefferson University,na,na,na,na,na,na,na,na,na,na,na,degentes extra provinciam,na,na,na,na,na,na,na,na,na,na
Franciscus X. Daly,na,na,na,na,na,na,na,na,na,na,na,degentes extra provinciam,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis
Marcus J. McNeal,na,na,na,na,na,na,na,na,na,na,na,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam
Joannes A. Hammill,na,na,na,na,na,na,na,na,na,na,na,na,collegium baltimorense,na,na,na,na,na,na,na,na,na
Georgius deButler,na,na,na,na,na,na,na,na,na,na,na,na,collegium bostoniense,na,na,na,na,na,na,na,na,na
Mattaeus L. Fortier,na,na,na,na,na,na,na,na,na,na,na,na,collegium bostoniense,na,na,na,na,na,na,na,na,na
Thomas J. McCluskey,na,na,na,na,na,na,na,na,na,na,na,na,collegium bostoniense,collegium bostoniense,collegium bostoniense,collegium bostoniense,collegium bostoniense,collegium bostoniense,collegium bostoniense,collegium bostoniense,collegium bostoniense,collegium bostoniense
Joannes E. McQuade,na,na,na,na,na,na,na,na,na,na,na,na,collegium brooklyniense,collegium brooklyniense,collegium s. crucis,collegium bostoniense,collegium bostoniense,collegium bostoniense,collegium bostoniense,collegium brooklyniense,collegium sancti francisci xaverii,collegium sancti francisci xaverii
Cornelius A. Murphy,na,na,na,na,na,na,na,na,na,na,na,na,collegium brooklyniense,collegium brooklyniense,collegium brooklyniense,collegium fordhamense,collegium buffalense,schola alta bostoniensis,schola alta bostoniensis,schola alta bostoniensis,domus philosophiae westoniensis,collegium kingstonense
Joannes H. Murray,na,na,na,na,na,na,na,na,na,na,na,na,collegium brooklyniense,collegium georgiopolitanum,collegium s. crucis,na,na,na,na,na,na,na
Gulielmus J. Luddy,na,na,na,na,na,na,na,na,na,na,na,na,collegium buffalense,collegium philadelphiense,collegium philadelphiense,collegium philadelphiense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense
Henricus J. Nelles,na,na,na,na,na,na,na,na,na,na,na,na,residentia buffalensis s. annae,residentia buffalensis s. annae,residentia buffalensis s. annae,residentia bostoniensis ad ss. trinitatis,residentia bostoniensis ad ss. trinitatis,residentia bostoniensis ad ss. trinitatis,residentia bostoniensis ad ss. trinitatis,residentia bostoniensis ad ss. trinitatis,residentia bostoniensis ad ss. trinitatis,residentia bostoniensis ad ss. trinitatis
Josephus M. A. Kelly,na,na,na,na,na,na,na,na,na,na,na,na,collegium fordhamense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,domus probationis poughkeepsiensis,collegium s. crucis,domus philosophiae westoniensis,domus philosophiae westoniensis,collegium kingstonense
Leo M. Cavanaugh,na,na,na,na,na,na,na,na,na,na,na,na,collegium fordhamense,collegium fordhamense,collegium fordhamense,domus probationis poughkeepsiensis,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis
Cornelius A. Shyne,na,na,na,na,na,na,na,na,na,na,na,na,residentia in insula keyser,residentia in insula keyser,residentia in insula keyser,residentia in insula keyser,collegium georgiopolitanum,collegium georgiopolitanum,collegium georgiopolitanum,collegium georgiopolitanum,na,na
