First,Middle,Last
Franciscus,R.,Donovan
Georgius,A.,Fargis
Philippus,M.,Finegan
Eduardus,X.,Fink
Joannes,C.,Harmon
Joannes,A.,Jansen.
Joannes,B.,Jungck
Franciscus,J.,Lenahan
Franciscus,T.,McCarthy
Joannes,D.,McCarthy
Michael,R.,McCarthy
Aloisius,,Pfeil
Henricus,C.,Semple
Joannes,J.,Wynne
Georgius,T.,Eberle
Bernardus,A.,Fuller
Carolus,H.,Hessel
Dionysius,L.,McCarthy
Franciscus,L.,Reilly
Daniel,F.,Ryan
Arthurus,J.,Sheehan
Joannes,,Ditman
Patritius,,Donlon
Dionysius,,Hogan
Eduardus,E.,Ponholzer
Mauritius,,Roach
Michael,,Vizard
Franciscus,,Barnum
Paulus,L.,Blakely
Thomas,I.,Cryan
Patritius,J.,Dooley
Gualterus,,Dwight
Joannes,H.,Fisher
Joannes,W.,Fox
Franciscus,B.,Hargadon
Josephus,C.,Husslein
Henricus,A.,Judge
Michael,,Kenny
Jacobus,M.,Kilroy
Patritius,F.,O'Gorman
Georgius,E.,Quin
Ricardus,E.,Ryan
Martinus,J.,Scott
Josephus,H.,Smith
Josephus,M.,Stadelman
Christophorus,A.,Sullivan
Ricardus,H.,Tierney
Joannes,D.,Wheeler
Franciscus,L.,Archdeacon
Carolus,L.,Bernhardt
Philippus,A.,Conniff
Franciscus,X.,Downey
Jacobus,T.,Hayes
Josephus,S.,Knight
Paulus,G.,Rohr
Franciscus,X.,Talbot
Josephus,B.,Glynn
Thomas,F.,Lafferty
Adamus,J.,Miller
Thomas,J.,O'Hara
Patritius,K.,Wallace
Calogerus,,Battaglia
Josephus,,Gennaro
Henricus,,Longo
Dionysius,,Lynch
Augustinus,,Biazzo
Joannes,,Doran
Daniel,J.,Quinn
Terentius,J.,Shealy
Claudius,,Ramaz
Eduardus,F.,Gallagher
Gulielmus,F.,Gannon
Josephus,P.,Green
Benedictus,,Guldner
Gulielmus,J.,O'Gorman
Joannes,,O'Hara
Michael,A.,O'Kane
Josephus,P.,O'Reilly
Josephus,J.,Prendergast
Patritius,,Quill
Gulielmus,S.,Singleton
Eduardus,P.,Spillane
Gulielmus,M.,Stinson
Jacobus,A.,Taaffe
Robertus,J.,Tracy
Cornelius,L.,Bulman
Georgius,A.,Connors
Gulielmus,E.,Daly
Joannes,A.,Egan
Eduardus,J.,Flahaven
Arthurus,J.,Hohmann
Jacobus,B.,Mahoney
Joannes,F.,McNally
Alfredus,B.,Oates
Oliverius,B.,Skelly
Gulielmus,A.,Storck
Jacobus,F.,Carroll
Thomas,F.,Gear
Georgius,F.,Schaffner
Antonius,,Scherf
Ferdinandus,,Stengel
Jacobus,J.,Walsh
Albertus,G.,Brown
Patritius,H.,Casey
Gulielmus,H. A.,Coyle
Bernardus,,Keany
Patritius,H.,Kelly
Jacobus,I.,Maguire
Theobaldus,M.,McNamara
Joannes,P. M.,Walsh
Franciscus,M.,Connell
Petrus,F.,Cusick
Franciscus,P.,Donnelly
Jacobus,T.,Gardiner
Joannes,T.,Hedrick
Arthurus,J.,McCaffray
Patritius,A.,McQuillan
Patritius,J.,O'Connell
Michael,J.,Ahern
Carolus,F.,Arnold
